sttn_no,sttn_name,longitude,latitude
01797,대학로입구 이화사거리,127.0025801998,37.5759841652
01798,운현궁,126.9869813803,37.5752716136
01799,상명대입구,126.9569583018,37.6000210109
01800,삼청동주민센터,126.9822105151,37.5846846831
01801,박노수미술관,126.9668944502,37.5810265604
01802,김창열 윤명로화실,126.9783685436,37.616304998
01803,사직공원 경복궁역입구,126.9689039095,37.5762206893
01804,충신시장,127.005404874,37.5749766498
01805,안국역2번출구앞,126.9861183272,37.5771728174
01807,금융연수원,126.981847891,37.5858776706
01809,감람산기도원,126.9798729651,37.6159439291
01810,카센터 터널앞,126.96585932,37.5741644592
01812,재동초등학교,126.9853617134,37.578791085
01814,삼청공원삼거리 옥호정터,126.9817444742,37.5874185176
01815,이화사거리,127.0022812884,37.5753200672
01816,연화정사,126.9794938432,37.6146490046
01817,대신중고,126.9616893251,37.5726178078
01819,현대사거리,126.987,37.579306
01820,교남동주민센터,126.9612800199,37.5721522968
01821,부암동주민센터 무계원,126.9637682263,37.5929353403
01823,형제봉입구,126.9816861503,37.6128643152
01824,교남동새마을금고,126.962337459,37.5714943551
01825,창신초교,127.0157200961,37.5760372123
01826,가회동주민센터,126.9851293823,37.5799426497
01827,볼링장,126.98817,37.579317
01829,부암슈퍼,126.9638602023,37.5947600723
01830,지구촌교회,126.979238,37.613106
01831,월암공원,126.964693,37.571226
01832,숭인1동주민센터,127.0155607478,37.5774150014
01833,북촌한옥마을입구 정세권활동터,126.9851687446,37.5812807738
01835,하림각,126.9629663842,37.5976847268
01836,보현빌라,126.978421,37.615382
01837,스위스대사관,126.965696,37.570137
01839,안국선원 삼거리,126.9852205387,37.5827432497
01840,세검정교회,126.960029,37.599386
01841,혜화동로터리,127.0010032298,37.5859196111
01842,김종영미술관,126.9781122953,37.6132637884
01843,서울시교육청,126.966702,37.569383
01844,창신쌍용1단지 종로센트레빌아파트,127.0155692785,37.5803228198
01845,사우디대사관,126.9852486243,37.583863308
01846,상명대입구,126.9574023475,37.5998544708
01847,혜화초등학교,126.9999909413,37.5873892922
01849,강북삼성병원,126.9683376852,37.5685315243
01850,청룡사 보문파크뷰자이아파트,127.0171508787,37.5797846496
01851,감사원,126.9855618026,37.5862656518
01852,국민생활관,126.9993137839,37.5896275957
01855,종로센트레빌후문 e편한세상보문아파트,127.015935,37.581911
01856,통일부,126.9861073451,37.5875308468
01858,서울국제고등학교,126.9971407875,37.5890742944
01860,성대후문 와룡공원,126.989734001,37.5891522774
01861,상명초등학교,126.9568173576,37.600904926
01862,새마을금고,126.9965690016,37.5878406881
